source_id,source_title,tradition,gutenberg_search_term,notes
20,Huehuetlahtolli (Discourses of the Elders),Nahua (Aztec),N/A - Not on Project Gutenberg,"Pre-conquest Nahua oral discourses (moral/ceremonial speeches) preserved through post-conquest transcription (e.g., by Bernardino de Sahagún and Andrés de Olmos). Not a single stable text; translations vary."
21,Florentine Codex,Nahua (Aztec),N/A - Not on Project Gutenberg,"Bernardino de Sahagún's General History of the Things of New Spain (12 books, compiled with Nahua informants, 16th century). No public-domain plain-text edition; the standard English edition is the Dibble/Anderson translation, still copyrighted."
22,Buddhist Sutras (Paraphrased Compilation),Buddhism,N/A - Paraphrase across multiple texts,"Row 267's source_ref reads 'Various Sutras (paraphrased)' with no single pinpoint citation. Not one identifiable work; recorded as a compilation placeholder rather than invented as a specific sutra."
23,Multitribal Proverb Oral Tradition,Multitribal Proverb,N/A - Oral Tradition,"Proverb attributed generically across multiple Indigenous traditions rather than to one; no single community or text of origin is named in the source_ref."
24,Shawnee Oral Tradition,Shawnee,N/A - Oral Tradition,Proverbs and sayings from Shawnee oral culture. Not available as a single downloadable text.
25,Cherokee Oral Tradition,Cherokee,N/A - Oral Tradition,Proverbs and sayings from Cherokee oral culture. Not available as a single downloadable text.
26,Chief Joseph's Surrender Speech (1877),Nez Perce,N/A - Historical Speech,"A specific, dated, single-speaker utterance (attributed to Hin-mah-too-yah-lat-kekt / Chief Joseph, October 1877), not a generic Nez Perce oral-tradition proverb. Recorded separately from a generic Nez Perce oral-tradition row because collapsing the two would misattribute a dated historical speech as undated communal tradition (see docs/DECISIONS.md, D7 executed). The most-quoted transcription (via Lt. C.E.S. Wood, likely edited/embellished) is itself disputed history, not settled wording."
27,Lakota Oral Tradition,Lakota,N/A - Oral Tradition,Proverbs and philosophy from Lakota oral culture. Not available as a single downloadable text.
28,Tewa (Pueblo) Oral Tradition,Tewa (Pueblo),N/A - Oral Tradition,"Row 333's source_ref names Frank Waters' 1963 'Book of the Hopi' as the mediating publication rather than the oral tradition itself; that book's fidelity to Hopi/Tewa tradition has been publicly disputed by Hopi religious leaders. Recorded as a Tewa oral-tradition row with the mediating book named in this note rather than treated as a Project-Gutenberg-style primary work (see docs/DECISIONS.md, D7 executed)."
29,Zuni (Pueblo) Oral Tradition,Zuni (Pueblo),N/A - Oral Tradition,Proverbs from Zuni oral culture. Not available as a single downloadable text.
30,Nguni (Bantu) Oral Tradition,Nguni (Bantu),N/A - Oral Tradition,Proverbs from Nguni (Bantu) oral culture. Not available as a single downloadable text.
31,Ethiopian Oral Tradition,Ethiopian,N/A - Oral Tradition,Proverbs from Ethiopian oral culture. Not available as a single downloadable text.
32,Modern Mayan Oral Tradition,Modern Mayan,N/A - Not a text; informal greeting,"Row 344 ('Modern Mayan Greeting') is not a work at all, it is a colloquial phrase. This row closes the source_id link for W1's data-quality gate; it is a pragmatic placeholder, not a resolution of the open non-text-source modeling question (docs/program/CLASSIFICATION_AND_FACETS.md Q3, docs/queue.md Q3), which stays open."
